2020-04-11 12:30:05 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 12:30:05 INFO  CoapServer:207 - Starting server
2020-04-11 12:30:05 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 12:30:05 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 12:30:05 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 12:35:56 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 12:35:57 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 12:35:57 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 12:35:57 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 12:35:57 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 12:35:57 INFO  CoapServer:207 - Starting server
2020-04-11 12:35:57 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 12:35:57 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 12:35:57 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 12:59:52 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 12:59:52 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 12:59:52 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 12:59:52 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 12:59:52 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 12:59:52 INFO  CoapServer:207 - Starting server
2020-04-11 12:59:52 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 12:59:52 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 12:59:52 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:02:17 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:02:18 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:02:18 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:02:18 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:02:18 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:02:18 INFO  CoapServer:207 - Starting server
2020-04-11 13:02:18 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:02:18 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:02:18 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:06:47 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:06:48 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:06:48 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:06:48 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:06:48 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:06:48 INFO  CoapServer:207 - Starting server
2020-04-11 13:06:48 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:06:48 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:06:48 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:08:41 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:08:41 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:08:42 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:08:42 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:08:42 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:08:42 INFO  CoapServer:207 - Starting server
2020-04-11 13:08:42 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:08:42 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:08:42 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:10:58 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:10:59 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:10:59 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:10:59 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:10:59 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:10:59 INFO  CoapServer:207 - Starting server
2020-04-11 13:10:59 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:10:59 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:10:59 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:13:10 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:13:11 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:13:11 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:13:11 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:13:11 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:13:11 INFO  CoapServer:207 - Starting server
2020-04-11 13:13:11 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:13:11 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:13:11 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:15:47 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:15:48 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:15:48 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:15:48 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:15:48 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:15:48 INFO  CoapServer:207 - Starting server
2020-04-11 13:15:48 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:15:48 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:15:48 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:20:12 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:20:13 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:20:13 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:20:13 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:20:13 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:20:13 INFO  CoapServer:207 - Starting server
2020-04-11 13:20:13 INFO  UDPConnector:161 - UDPConnector starts up 4 sender threads and 4 receiver threads
2020-04-11 13:20:13 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8018, recv buf = 65536, send buf = 65536, recv packet size = 2048
2020-04-11 13:20:13 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8018
2020-04-11 13:22:48 INFO  NetworkConfig:372 - loading properties from file C:\Progetti\tel\it.unibo.qak20.boudaryrobot.analysis\Californium.properties
2020-04-11 13:22:48 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2020-04-11 13:22:48 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2020-04-11 13:22:48 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2020-04-11 13:22:48 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2020-04-11 13:22:48 INFO  CoapServer:207 - Starting server
